iter	Passed	Remaining
587	5138	3600
588	5148	3592
589	5156	3583
590	5165	3575
591	5175	3566
592	5186	3559
593	5194	3550
594	5204	3542
595	5215	3535
596	5224	3526
597	5232	3517
598	5241	3509
599	5251	3500
600	5259	3491
601	5268	3483
602	5277	3474
603	5284	3464
604	5291	3454
605	5297	3444
606	5305	3435
607	5314	3426
608	5323	3418
609	5334	3410
610	5344	3402
611	5354	3394
612	5362	3385
613	5372	3377
614	5380	3368
615	5388	3359
616	5395	3349
617	5402	3339
618	5411	3330
619	5418	3321
620	5428	3312
621	5438	3304
622	5447	3296
623	5454	3286
624	5461	3276
625	5470	3268
626	5482	3261
627	5492	3253
628	5502	3245
629	5510	3236
630	5517	3226
631	5525	3217
632	5532	3207
633	5540	3198
634	5550	3190
635	5558	3181
636	5565	3171
637	5575	3163
638	5582	3153
639	5593	3146
640	5602	3137
641	5612	3129
642	5621	3121
643	5631	3112
644	5639	3104
645	5647	3094
646	5656	3086
647	5665	3077
648	5674	3069
649	5683	3060
650	5691	3051
651	5699	3042
652	5708	3033
653	5717	3025
654	5725	3015
655	5735	3007
656	5746	3000
657	5754	2991
658	5764	2982
659	5772	2973
660	5778	2963
661	5786	2954
662	5793	2944
663	5800	2935
664	5808	2926
665	5816	2917
666	5830	2910
667	5838	2901
668	5847	2892
669	5856	2884
670	5866	2876
671	5875	2867
672	5884	2859
673	5892	2850
674	5901	2841
675	5912	2833
676	5925	2827
677	5932	2817
678	5943	2810
679	5952	2801
680	5960	2791
681	5966	2782
682	5975	2773
683	5982	2763
684	5992	2755
685	6001	2746
686	6008	2737
687	6016	2728
688	6022	2718
689	6029	2708
690	6037	2700
691	6045	2690
692	6055	2682
693	6062	2673
694	6070	2663
695	6078	2654
696	6086	2645
697	6096	2637
698	6103	2628
699	6111	2619
700	6118	2609
701	6125	2600
702	6132	2590
703	6138	2581
704	6146	2571
705	6154	2562
706	6169	2556
707	6180	2548
708	6188	2540
709	6196	2531
710	6205	2522
711	6213	2513
712	6221	2504
713	6228	2494
714	6235	2485
715	6244	2476
716	6254	2468
717	6264	2460
718	6275	2452
719	6283	2443
720	6293	2435
721	6302	2426
722	6310	2417
723	6317	2408
724	6326	2399
725	6333	2390
726	6340	2381
727	6349	2372
728	6357	2363
729	6366	2354
730	6373	2345
731	6383	2337
732	6393	2328
733	6400	2319
734	6408	2310
735	6416	2301
736	6428	2294
737	6435	2284
738	6444	2276
739	6452	2266
740	6458	2257
741	6467	2248
742	6477	2240
743	6485	2231
744	6493	2222
745	6502	2213
746	6510	2205
747	6517	2195
748	6526	2187
749	6534	2178
750	6543	2169
751	6551	2160
752	6559	2151
753	6566	2142
754	6573	2133
755	6580	2123
756	6587	2114
757	6595	2105
758	6602	2096
759	6609	2087
760	6615	2077
761	6622	2068
762	6630	2059
763	6638	2050
764	6647	2042
765	6656	2033
766	6662	2023
767	6669	2014
768	6676	2005
769	6686	1997
770	6695	1988
771	6703	1979
772	6712	1971
773	6719	1961
774	6726	1952
775	6735	1944
776	6744	1935
777	6752	1926
778	6759	1917
779	6766	1908
780	6777	1900
781	6787	1892
782	6796	1883
783	6805	1875
784	6812	1865
785	6821	1857
786	6828	1848
787	6840	1840
788	6851	1832
789	6860	1823
790	6869	1814
791	6876	1806
792	6885	1797
793	6895	1789
794	6906	1781
795	6917	1772
796	6926	1764
797	6935	1755
798	6944	1746
799	6952	1738
800	6961	1729
801	6970	1720
802	6980	1712
803	6988	1703
804	6994	1694
805	7001	1685
806	7009	1676
807	7016	1667
808	7024	1658
809	7034	1649
810	7044	1641
811	7051	1632
812	7061	1624
813	7069	1615
814	7077	1606
815	7086	1597
816	7095	1589
817	7108	1581
818	7115	1572
819	7126	1564
820	7133	1555
821	7141	1546
822	7150	1537
823	7159	1529
824	7168	1520
825	7175	1511
826	7184	1502
827	7195	1494
828	7205	1486
829	7215	1477
830	7226	1469
831	7235	1460
832	7244	1452
833	7252	1443
834	7260	1434
835	7270	1426
836	7278	1417
837	7289	1409
838	7296	1400
839	7304	1391
840	7312	1382
841	7319	1373
842	7326	1364
843	7333	1355
844	7339	1346
845	7346	1337
846	7354	1328
847	7365	1320
848	7373	1311
849	7380	1302
850	7389	1293
851	7396	1284
852	7404	1276
853	7413	1267
854	7421	1258
855	7430	1249
856	7438	1241
857	7446	1232
858	7453	1223
859	7462	1214
860	7470	1206
861	7481	1197
862	7490	1189
863	7499	1180
864	7509	1172
